央视频道,#genre#
CCTV-1,http://114.254.35.75:18888/rtp/239.3.1.129:8008
CCTV-1,http://106.113.149.200:2222/rtp/239.254.200.45:8008
CCTV-1,http://101.17.192.171:8007/rtp/239.253.92.83:8012
CCTV-2,http://114.254.35.75:18888/rtp/239.3.1.60:8084
CCTV-2,http://101.17.192.171:8007/rtp/239.253.92.190:6065
CCTV-2,http://106.113.149.200:2222/rtp/239.254.200.158:6000
CCTV-3,http://114.254.35.75:18888/rtp/239.3.1.172:8001
CCTV-3,http://106.113.149.200:2222/rtp/239.254.201.152:7205
CCTV-3,http://101.17.192.171:8007/rtp/239.253.92.191:6057
CCTV-3,http://106.113.149.200:2222/rtp/239.254.200.13:6000
CCTV-4,http://114.254.35.75:18888/rtp/239.3.1.105:8092
CCTV-4,http://114.254.35.75:18888/rtp/239.3.1.213:4220
CCTV-4,http://114.254.35.75:18888/rtp/239.3.1.214:4220
CCTV-4,http://101.17.192.171:8007/rtp/239.253.93.193:6371
CCTV-4,http://106.113.149.200:2222/rtp/239.254.201.206:4220
CCTV-4,http://101.17.192.171:8007/rtp/239.253.93.192:6370
CCTV-4,http://106.113.149.200:2222/rtp/239.254.201.205:4220
CCTV-4,http://101.17.192.171:8007/rtp/239.253.92.251:6141
CCTV-4,http://106.113.149.200:2222/rtp/239.254.200.190:6307
CCTV-5,http://114.254.35.75:18888/rtp/239.3.1.173:8001
CCTV-5,http://106.113.149.200:2222/rtp/239.254.201.153:7206
CCTV-5+,http://106.113.149.200:2222/rtp/239.254.200.46:8004
CCTV-5+,http://114.254.35.75:18888/rtp/239.3.1.130:8004
CCTV-5+,http://101.17.192.171:8007/rtp/239.253.92.82:8013
CCTV-5,http://106.113.149.200:2222/rtp/239.254.200.14:6000
CCTV-5,http://101.17.192.171:8007/rtp/239.253.92.181:6046
CCTV-6,http://114.254.35.75:18888/rtp/239.3.1.174:8001
CCTV-6,http://106.113.149.200:2222/rtp/239.254.201.154:7207
CCTV-6,http://101.17.192.171:8007/rtp/239.253.92.193:6058
CCTV-6,http://106.113.149.200:2222/rtp/239.254.200.15:6000
CCTV-7,http://114.254.35.75:18888/rtp/239.3.1.61:8104
CCTV-7,http://101.17.192.171:8007/rtp/239.253.92.194:6059
CCTV-7,http://106.113.149.200:2222/rtp/239.254.200.159:6000
CCTV-8,http://106.113.149.200:2222/rtp/239.254.201.155:7208
CCTV-8,http://114.254.35.75:18888/rtp/239.3.1.175:8001
CCTV-8,http://101.17.192.171:8007/rtp/239.253.92.195:6060
CCTV-8,http://106.113.149.200:2222/rtp/239.254.200.16:6000
CCTV-9,http://114.254.35.75:18888/rtp/239.3.1.62:8112
CCTV-9,http://101.17.192.171:8007/rtp/239.253.92.107:6020
CCTV-9,http://106.113.149.200:2222/rtp/239.254.200.59:8112
CCTV-10,http://114.254.35.75:18888/rtp/239.3.1.63:8116
CCTV-10,http://106.113.149.200:2222/rtp/239.254.200.160:6000
CCTV-10,http://101.17.192.171:8007/rtp/239.253.92.196:6061
CCTV-11,http://114.254.35.75:18888/rtp/239.3.1.152:8120
CCTV-11,http://106.113.149.200:2222/rtp/239.254.201.123:8120
CCTV-11,http://101.17.192.171:8007/rtp/239.253.93.153:6321
CCTV-12,http://114.254.35.75:18888/rtp/239.3.1.64:8124
CCTV-12,http://106.113.149.200:2222/rtp/239.254.200.161:6000
CCTV-12,http://101.17.192.171:8007/rtp/239.253.92.197:6062
CCTV-13,http://114.254.35.75:18888/rtp/239.3.1.124:8128
CCTV-13,http://106.113.149.200:2222/rtp/239.254.200.9:8264
CCTV-13,http://101.17.192.171:8007/rtp/239.253.92.13:8008
CCTV-14,http://114.254.35.75:18888/rtp/239.3.1.65:8132
CCTV-14,http://101.17.192.171:8007/rtp/239.253.92.198:6063
CCTV-14,http://106.113.149.200:2222/rtp/239.254.200.162:6000
CCTV-15,http://114.254.35.75:18888/rtp/239.3.1.153:8136
CCTV-15,http://101.17.192.171:8007/rtp/239.253.93.154:6322
CCTV-15,http://106.113.149.200:2222/rtp/239.254.201.124:8136
CCTV-16,http://106.113.149.200:2222/rtp/239.254.201.150:6345
CCTV-16,http://114.254.35.75:18888/rtp/239.3.1.183:8001
CCTV-16,http://114.254.35.75:18888/rtp/239.3.1.184:8001
CCTV-17,http://114.254.35.75:18888/rtp/239.3.1.151:8144
CCTV-17,http://101.17.192.171:8007/rtp/239.253.93.150:6318
CCTV-17,http://106.113.149.200:2222/rtp/239.254.201.120:8144
CETV-1,http://106.113.149.200:2222/rtp/239.254.200.225:6259
CETV-1,http://114.254.35.75:18888/rtp/239.3.1.57:8152
